Month,Agency,Ridership
10/01/2021,B&T,28079713
11/01/2021,LIRR,3949969
11/01/2021,MNR,3615782
11/01/2021,Subway,82331344
11/01/2021,Bus,28904472
11/01/2021,AAR,644716
11/01/2021,SIR,182918
11/01/2021,B&T,26841772
12/01/2021,LIRR,3684025
12/01/2021,MNR,3247340
12/01/2021,Subway,78633267
12/01/2021,Bus,27519169
12/01/2021,AAR,635911
12/01/2021,SIR,164787
12/01/2021,B&T,26015011
01/01/2022,LIRR,2750138
01/01/2022,MNR,2364890
01/01/2022,Subway,63547386
01/01/2022,Bus,23255396
01/01/2022,AAR,558704
01/01/2022,SIR,137590
01/01/2022,B&T,22027385
02/01/2022,LIRR,3180252
02/01/2022,MNR,2793314
02/01/2022,Subway,70027806
02/01/2022,Bus,24780919
02/01/2022,AAR,620161
02/01/2022,SIR,145316
02/01/2022,B&T,23453884
03/01/2022,LIRR,4371239
03/01/2022,MNR,3979431
03/01/2022,Subway,87296932
03/01/2022,Bus,30731752
03/01/2022,AAR,770886
03/01/2022,SIR,194498
03/01/2022,B&T,27361079
04/01/2022,MNR,3941430
04/01/2022,Subway,83458044
04/01/2022,Bus,28964843
04/01/2022,AAR,752442
04/01/2022,SIR,160878
04/01/2022,B&T,27396543
04/01/2022,LIRR,4170714
05/01/2022,SIR,180045
05/01/2022,B&T,28870275
05/01/2022,LIRR,4468669
05/01/2022,MNR,4114316
05/01/2022,Subway,87807398
05/01/2022,Bus,30454123
05/01/2022,AAR,768510
06/01/2022,LIRR,4847813
06/01/2022,MNR,4459818
06/01/2022,Subway,88064005
06/01/2022,Bus,29809526
06/01/2022,AAR,784853
06/01/2022,SIR,176302
06/01/2022,B&T,28850283
07/01/2022,LIRR,4511503
07/01/2022,MNR,4136190
07/01/2022,Subway,80700784
07/01/2022,Bus,28225901
07/01/2022,AAR,773269
07/01/2022,SIR,136617
07/01/2022,B&T,28709393
08/01/2022,B&T,29193767
08/01/2022,LIRR,4760161
08/01/2022,MNR,4277245
08/01/2022,Subway,83116207
08/01/2022,Bus,29190291
08/01/2022,AAR,837770
08/01/2022,SIR,145974
09/01/2022,LIRR,4997250
09/01/2022,MNR,4686434
09/01/2022,Subway,91067002
09/01/2022,Bus,30439385
09/01/2022,AAR,816047
09/01/2022,SIR,184153
09/01/2022,B&T,28141660
10/01/2022,LIRR,4943908
10/01/2022,MNR,4830785
10/01/2022,Subway,95228073
10/01/2022,Bus,30686448
10/01/2022,AAR,828460
10/01/2022,SIR,185090
10/01/2022,B&T,28333321
11/01/2022,LIRR,4778906
11/01/2022,MNR,4654532
11/01/2022,Subway,90951945
11/01/2022,Bus,29015658
11/01/2022,AAR,826608
11/01/2022,SIR,188105
11/01/2022,B&T,26910144
12/01/2022,LIRR,4759964
12/01/2022,MNR,4614889
12/01/2022,Subway,92159883
12/01/2022,Bus,27538720
12/01/2022,AAR,815894
12/01/2022,SIR,174585
12/01/2022,B&T,27056085
01/01/2023,LIRR,4632770
01/01/2023,MNR,4474398
01/01/2023,Subway,88997973
01/01/2023,Bus,28312599
01/01/2023,AAR,829178
01/01/2023,SIR,184342
01/01/2023,B&T,25739508
02/01/2023,AAR,801617
02/01/2023,SIR,161777
02/01/2023,B&T,23923849
02/01/2023,LIRR,4296379
02/01/2023,MNR,3945780
02/01/2023,Subway,84364006
02/01/2023,Bus,26621222
03/01/2023,LIRR,5235497
03/01/2023,MNR,4868485
03/01/2023,Subway,101147710
03/01/2023,Bus,31834944
03/01/2023,AAR,935334
03/01/2023,SIR,205880
03/01/2023,B&T,27885488
04/01/2023,LIRR,4988126
04/01/2023,MNR,4744572
04/01/2023,Subway,94267491
04/01/2023,Bus,28689898
04/01/2023,AAR,883681
04/01/2023,SIR,172132
04/01/2023,B&T,27399927
05/01/2023,SIR,209461
05/01/2023,B&T,29737737
05/01/2023,LIRR,5634423
05/01/2023,MNR,5351707
05/01/2023,Subway,104532854
05/01/2023,Bus,31698626
05/01/2023,AAR,949070
06/01/2023,LIRR,5768267
06/01/2023,MNR,5276518
06/01/2023,Subway,97823227
06/01/2023,Bus,29098672
06/01/2023,AAR,925964
06/01/2023,SIR,185529
06/01/2023,B&T,29348602
07/01/2023,LIRR,5517014
07/01/2023,MNR,4960907
07/01/2023,Subway,91228642
07/01/2023,Bus,27802733
07/01/2023,AAR,918852
07/01/2023,SIR,154544
07/01/2023,B&T,29298566
08/01/2023,B&T,29727855
08/01/2023,LIRR,5857735
08/01/2023,MNR,5117147
08/01/2023,Subway,94141961
08/01/2023,Bus,28590043
08/01/2023,AAR,982838
08/01/2023,SIR,168545
09/01/2023,LIRR,5569954
09/01/2023,MNR,4978316
09/01/2023,Subway,95253595
09/01/2023,Bus,27730672
09/01/2023,AAR,914761
09/01/2023,SIR,186140
09/01/2023,B&T,27784181
10/01/2023,LIRR,6032844
10/01/2023,MNR,5637482
10/01/2023,Subway,103949018
10/01/2023,Bus,29009501
10/01/2023,AAR,988242
10/01/2023,SIR,216059
10/01/2023,B&T,29001319
11/01/2023,LIRR,5845387
11/01/2023,MNR,5425451
11/01/2023,Subway,98511566
11/01/2023,Bus,26181495
11/01/2023,AAR,968057
11/01/2023,SIR,201180
11/01/2023,B&T,27668790
12/01/2023,LIRR,5840589
12/01/2023,MNR,5360728
12/01/2023,Subway,95685578
12/01/2023,Bus,24252199
12/01/2023,AAR,976165
12/01/2023,SIR,180393
12/01/2023,B&T,27686588
01/01/2024,LIRR,5490105
01/01/2024,Subway,91419551
01/01/2024,SIR,189970
01/01/2024,B&T,25395118
01/01/2024,Bus,24912126
01/01/2024,AAR,928328
01/01/2024,MNR,5003857
02/01/2024,Subway,90284772
02/01/2024,Bus,24740372
02/01/2024,AAR,944524
02/01/2024,SIR,176396
02/01/2024,B&T,25061171
02/01/2024,MNR,4710620
02/01/2024,LIRR,5331553
